latitude,longitude,sector,cell,village,village_id,cell_id,sector_id
-1.5536020432551945,29.557646236432433,Busogo,Gisesero,Gahanga,57,18,0
-1.5590208063762927,29.55976235547039,Busogo,Gisesero,Gahanga,57,18,0
-1.5546386408075359,29.548634934916652,Busogo,Gisesero,Gahanga,57,18,0
-1.5579142442624379,29.551325206443725,Busogo,Gisesero,Gahanga,57,18,0
-1.5600425805389344,29.555115265304448,Busogo,Gisesero,Gahanga,57,18,0
-1.5596073301826245,29.555024509211822,Busogo,Gisesero,Gahanga,57,18,0
-1.5558253498622139,29.55664007325509,Busogo,Gisesero,Gahanga,57,18,0
-1.5527062486645387,29.547677196710588,Busogo,Gisesero,Gahanga,57,18,0
-1.5547044034573239,29.548792278318174,Busogo,Gisesero,Gahanga,57,18,0
-1.559406323764099,29.55374292768362,Busogo,Gisesero,Gahanga,57,18,0
-1.5581930954041525,29.55041369971554,Busogo,Gisesero,Gahanga,57,18,0
-1.556995160028872,29.559684300705136,Busogo,Gisesero,Gahanga,57,18,0
-1.5543870077578934,29.548143918720275,Busogo,Gisesero,Gahanga,57,18,0
-1.559211897324584,29.558494187109666,Busogo,Gisesero,Gahanga,57,18,0
-1.5517736890764646,29.557116692157237,Busogo,Gisesero,Gahanga,57,18,0
-1.5532564318363644,29.560408275941924,Busogo,Gisesero,Gahanga,57,18,0
-1.553056421131352,29.557595934220508,Busogo,Gisesero,Gahanga,57,18,0
-1.5553756216506007,29.560916178827437,Busogo,Gisesero,Gahanga,57,18,0
-1.551994782331766,29.544745017518522,Busogo,Gisesero,Gahanga,57,18,0
-1.5541263771387155,29.558252769019198,Busogo,Gisesero,Gahanga,57,18,0
-1.5550729173254845,29.558467272563668,Busogo,Gisesero,Gahanga,57,18,0
-1.5560022464984737,29.553237802790463,Busogo,Gisesero,Gahanga,57,18,0
-1.5548656723766086,29.54884799764409,Busogo,Gisesero,Gahanga,57,18,0
-1.5593822596118518,29.559156255654095,Busogo,Gisesero,Gahanga,57,18,0
-1.5544340508846044,29.561028806606938,Busogo,Gisesero,Gahanga,57,18,0
-1.549430059960174,29.559235636494595,Busogo,Gisesero,Gahanga,57,18,0
-1.5499260520344682,29.559458408271333,Busogo,Gisesero,Gahanga,57,18,0
-1.5588837843323442,29.55101902321594,Busogo,Gisesero,Gahanga,57,18,0
-1.5577788988253116,29.552700933098286,Busogo,Gisesero,Gahanga,57,18,0
-1.554948312686986,29.55506705296317,Busogo,Gisesero,Gahanga,57,18,0
-1.5517847816166055,29.54723179607145,Busogo,Gisesero,Gahanga,57,18,0
-1.5531300840103972,29.549973529521285,Busogo,Gisesero,Gahanga,57,18,0
-1.554484091737292,29.55557192351469,Busogo,Gisesero,Gahanga,57,18,0
-1.5588222359268789,29.553013658303033,Busogo,Gisesero,Gahanga,57,18,0
-1.5595534355457445,29.55581720436703,Busogo,Gisesero,Gahanga,57,18,0
-1.5565746130066962,29.556781319164525,Busogo,Gisesero,Gahanga,57,18,0
-1.5527418516219431,29.54765953539059,Busogo,Gisesero,Gahanga,57,18,0
-1.5542116084226247,29.559441711555213,Busogo,Gisesero,Gahanga,57,18,0
-1.558606835595802,29.55338353668698,Busogo,Gisesero,Gahanga,57,18,0
-1.5571009735302725,29.54936779251995,Busogo,Gisesero,Gahanga,57,18,0
-1.5494157673737652,29.557519030373076,Busogo,Gisesero,Gahanga,57,18,0
-1.5608190097551633,29.55575103093496,Busogo,Gisesero,Gahanga,57,18,0
-1.5526925097836362,29.544363232613627,Busogo,Gisesero,Gahanga,57,18,0
-1.5588534657622304,29.555960214767676,Busogo,Gisesero,Gahanga,57,18,0
-1.5586714030768876,29.557228806364872,Busogo,Gisesero,Gahanga,57,18,0
-1.554027750135086,29.556079275819528,Busogo,Gisesero,Gahanga,57,18,0
-1.5531464559701147,29.561018011135605,Busogo,Gisesero,Gahanga,57,18,0
-1.5549489008257733,29.558969588714838,Busogo,Gisesero,Gahanga,57,18,0
-1.5550908420055827,29.55437900623523,Busogo,Gisesero,Gahanga,57,18,0
-1.5518656344478157,29.54633868418079,Busogo,Gisesero,Gahanga,57,18,0
-1.552315545595498,29.555311729791462,Busogo,Gisesero,Jabiro,96,18,0
-1.5447406390292844,29.55819864482687,Busogo,Gisesero,Jabiro,96,18,0
-1.544616542899807,29.553185215967385,Busogo,Gisesero,Jabiro,96,18,0
-1.5502874223126666,29.551876401499907,Busogo,Gisesero,Jabiro,96,18,0
-1.5468192043918516,29.557581251675156,Busogo,Gisesero,Jabiro,96,18,0
-1.547192524531764,29.555816165259923,Busogo,Gisesero,Jabiro,96,18,0
-1.5511797144782569,29.55251294456388,Busogo,Gisesero,Jabiro,96,18,0
-1.546143009613529,29.55691564574066,Busogo,Gisesero,Jabiro,96,18,0
-1.5451373960871444,29.55748044224475,Busogo,Gisesero,Jabiro,96,18,0
-1.549152201608563,29.55399905312937,Busogo,Gisesero,Jabiro,96,18,0
-1.5477046590418408,29.556807347371468,Busogo,Gisesero,Jabiro,96,18,0
-1.5462826538673657,29.555864620087412,Busogo,Gisesero,Jabiro,96,18,0
-1.5531261505482545,29.552670428709032,Busogo,Gisesero,Jabiro,96,18,0
-1.5487511509455414,29.553551370827908,Busogo,Gisesero,Jabiro,96,18,0
-1.548281254024288,29.551799012531216,Busogo,Gisesero,Jabiro,96,18,0
-1.5532103470380851,29.555090730380666,Busogo,Gisesero,Jabiro,96,18,0
-1.5478268808662667,29.554285729510763,Busogo,Gisesero,Jabiro,96,18,0
-1.5445268585753937,29.556100716675008,Busogo,Gisesero,Jabiro,96,18,0
-1.55089337411552,29.554047574634755,Busogo,Gisesero,Jabiro,96,18,0
